Name,School,Gender,Role,Total Citations,Earliest Pub,Cit rank,YO rank,AvCit,AvAge,PR value,age,citperyear
Mina Aganagic,Berkeley,Female,Professor,655,1997,0.545,0.24,0.66608,0.56238,1.184394893,24,27.29166667
SunÄica ÄŒaniÄ‡,Berkeley,Female,Professor,1069,1992,0.701,0.387,0.66608,0.56238,1.184394893,29,36.86206897
Sylvie Corteel,Berkeley,Female,Professor,853,1998,0.631,0.209,0.66608,0.56238,1.184394893,23,37.08695652
Jenny Harrison,Berkeley,Female,Professor,215,1975,0.21,0.846,0.66608,0.56238,1.184394893,46,4.673913043
Olga Holtz,Berkeley,Female,Professor,319,1996,0.313,0.278,0.66608,0.56238,1.184394893,25,12.76
Vera Serganova,Berkeley,Female,Professor,851,1983,0.63,0.652,0.66608,0.56238,1.184394893,38,22.39473684
Chris Shannon,Berkeley,Female,Professor,384,1994,0.367,0.334,0.66608,0.56238,1.184394893,27,14.22222222
Lauren Williams,Berkeley,Female,Professor,782,1996,0.607,0.278,0.66608,0.56238,1.184394893,25,31.28
Melanie Matchett Wood,Berkeley,Female,Professor,203,2003,0.195,0.082,0.66608,0.56238,1.184394893,18,11.27777778
Ian Agol,Berkeley,Male,Professor,800,1998,0.615,0.209,0.66608,0.56238,1.184394893,23,34.7826087
Denis Auroux,Berkeley,Male,Professor,739,1996,0.587,0.278,0.66608,0.56238,1.184394893,25,29.56
George M. Bergman,Berkeley,Male,Professor,1275,1957,0.75,0.997,0.66608,0.56238,1.184394893,64,19.921875
Richard Borcherd,Berkeley,Male,Professor,1762,1984,0.832,0.622,0.66608,0.56238,1.184394893,37,47.62162162
Michael Christ,Berkeley,Male,Professor,3267,1982,0.929,0.684,0.66608,0.56238,1.184394893,39,83.76923077
James Demmel,Berkeley,Male,Professor,2754,1983,0.908,0.652,0.66608,0.56238,1.184394893,38,72.47368421
David Eisenbud,Berkeley,Male,Professor,7276,1969,0.986,0.939,0.66608,0.56238,1.184394893,52,139.9230769
L. Craig Evans,Berkeley,Male,Professor,12054,1975,0.995,0.846,0.66608,0.56238,1.184394893,46,262.0434783
Steven Evans,Berkeley,Male,Professor,989,1985,0.672,0.593,0.66608,0.56238,1.184394893,36,27.47222222
Edward Frenkel,Berkeley,Male,Professor,2190,1988,0.871,0.5,0.66608,0.56238,1.184394893,33,66.36363636
Alexander Givental,Berkeley,Male,Professor,1859,1980,0.845,0.739,0.66608,0.56238,1.184394893,41,45.34146341
Ming Gu,Berkeley,Male,Professor,1467,1988,0.787,0.5,0.66608,0.56238,1.184394893,33,44.45454545
Mark Haiman,Berkeley,Male,Professor,1530,1984,0.797,0.622,0.66608,0.56238,1.184394893,37,41.35135135
Michael Hutchings,Berkeley,Male,Professor,667,1994,0.552,0.334,0.66608,0.56238,1.184394893,27,24.7037037
Richard Karp,Berkeley,Male,Professor,3016,1959,0.919,0.994,0.66608,0.56238,1.184394893,62,48.64516129
Robion Kirby,Berkeley,Male,Professor,1489,1965,0.792,0.974,0.66608,0.56238,1.184394893,56,26.58928571
Michael J. Klass,Berkeley,Male,Professor,341,1972,0.335,0.897,0.66608,0.56238,1.184394893,49,6.959183673
FranÃ§ois Labourie,Berkeley,Male,Professor,736,1987,0.586,0.53,0.66608,0.56238,1.184394893,34,21.64705882
John Lott,Berkeley,Male,Professor,1849,1983,0.844,0.652,0.66608,0.56238,1.184394893,38,48.65789474
Antonio MontalbÃ¡n,Berkeley,Male,Professor,450,2003,0.413,0.082,0.66608,0.56238,1.184394893,18,25
David Nadler,Berkeley,Male,Professor,346,1997,0.339,0.24,0.66608,0.56238,1.184394893,24,14.41666667
Andrew Ogg,Berkeley,Male,Professor,527,1961,0.465,0.989,0.66608,0.56238,1.184394893,60,8.783333333
Martin Olsson,Berkeley,Male,Professor,867,2001,0.636,0.124,0.66608,0.56238,1.184394893,20,43.35
James Pitman,Berkeley,Male,Professor,3758,1972,0.944,0.897,0.66608,0.56238,1.184394893,49,76.69387755
